County,License Number,Neighborhood,Entity Name,DBA Name,City,Zip Code,Georeference,Address,Normalized DBA Name,Is Chain Store,Is Grocery Store,Google Maps Link
BRONX,754259,Allerton,1172 SAMS DELI CORP,1172 SAMS DELI,BRONX,10469,POINT (-73.85303647 40.872955416),1172 E GUN HILL RD,1172 sams deli,No,Yes,https://www.google.com/maps/search/?api=1&query=1172+SAMS+DELI+1172+E+GUN+HILL+RD+BRONX+
BRONX,732335,Allerton,2020 HEALTHY DELI CORP,2020 HEALTHY DELI,BRONX,10467,POINT (-73.868975078 40.865557464),649 ALLERTON AVE,2020 healthy deli,No,Yes,https://www.google.com/maps/search/?api=1&query=2020+HEALTHY+DELI+649+ALLERTON+AVE+BRONX+
BRONX,609354,Allerton,674 GOURMET DELI CORP,7 ELEVEN DELI,BRONX,10467,POINT (-73.868140324 40.865032673),674 ALLERTON AVE,7 eleven deli,No,Yes,https://www.google.com/maps/search/?api=1&query=7+ELEVEN+DELI+674+ALLERTON+AVE+BRONX+
BRONX,721012,Allerton,9 CIENTO DELI & GROCERY CORP,9 CIENTO DELI & GROCERY,BRONX,10469,POINT (-73.861343355 40.865398501),900 ALLERTON AVE,9 ciento deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=9+CIENTO+DELI+&+GROCERY+900+ALLERTON+AVE+BRONX+
BRONX,760983,Allerton,9 STAR DELI AND GROCERY CORP,9 STAR DELI AND GROCERY,BRONX,10469,POINT (-73.861343355 40.865398501),900 ALLERTON AVE,9 star deli and grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=9+STAR+DELI+AND+GROCERY+900+ALLERTON+AVE+BRONX+
BRONX,745690,Allerton,ADEE DELI & GROCERY INC,ADEE DELI & GROCERY,BRONX,10467,POINT (-73.866926121 40.869595907),700 ADEE AVE,adee deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=ADEE+DELI+&+GROCERY+700+ADEE+AVE+BRONX+
BRONX,743363,Allerton,AFAA ENTERPRISE INCORPORATION,AFAA AFRICAN SUPERMARKET,BRONX,10467,POINT (-73.8671842 40.864544344),2544 B WHITE PLAIN ROAD,afaa african supermarket,No,Yes,https://www.google.com/maps/search/?api=1&query=AFAA+AFRICAN+SUPERMARKET+2544+B+WHITE+PLAIN+ROAD+BRONX+
BRONX,748346,Allerton,AGBOGBLOSHIE AFRICAN MARKET INC,AGBOGBLOSHIE AFRICAN MARKET,BRONX,10469,POINT (-73.847691079 40.871046563),1322 E GUN HILL ROAD,agbogbloshie african market,No,Yes,https://www.google.com/maps/search/?api=1&query=AGBOGBLOSHIE+AFRICAN+MARKET+1322+E+GUN+HILL+ROAD+BRONX+
BRONX,759580,Allerton,AL REHMAN GROCERY & HALAL MEAT INC,AL REHMAN GROCERY & HALAL MEAT,BRONX,10469,POINT (-73.857234797 40.86563265),1059 ALLERTON AVE,al rehman grocery halal meat,No,Yes,https://www.google.com/maps/search/?api=1&query=AL+REHMAN+GROCERY+&+HALAL+MEAT+1059+ALLERTON+AVE+BRONX+
BRONX,734187,Allerton,AL-KAREEM GROCERY & HALAL MEETS INC,AL-KAREEM GROCERY & HALAL MEETS,BRONX,10469,POINT (-73.857234797 40.86563265),1059 ALERTON AVENUE,alkareem grocery halal meets,No,Yes,https://www.google.com/maps/search/?api=1&query=AL-KAREEM+GROCERY+&+HALAL+MEETS+1059+ALERTON+AVENUE+BRONX+
BRONX,708878,Allerton,ALEX MINI MARKET CORP,ALEX MINI MARKET,BRONX,10467,POINT (-73.867482177 40.867769407),2865 WHITE PLAINS RD,alex mini market,No,Yes,https://www.google.com/maps/search/?api=1&query=ALEX+MINI+MARKET+2865+WHITE+PLAINS+RD+BRONX+
BRONX,607867,Allerton,ALLERTON DELI GROCERY INC,ALLERTON DELI GROCERY,BRONX,10467,POINT (-73.863370183 40.865681223),801 ALLERTON AVE,allerton deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=ALLERTON+DELI+GROCERY+801+ALLERTON+AVE+BRONX+
BRONX,755971,Allerton,ALLERTON MARKET LLC,ALLERTON MARKET,BRONX,10467,POINT (-73.864825533 40.865338697),766 ALLERTON AVE,allerton market,No,Yes,https://www.google.com/maps/search/?api=1&query=ALLERTON+MARKET+766+ALLERTON+AVE+BRONX+
