County,License Number,Establishment Type,Entity Name,DBA Name,City,Zip Code,Georeference,Address,Normalized DBA Name,Is Chain Store,Is Grocery Store,Google Maps Link,Latitude,Longitude,Neighborhood
BRONX,740870,AC,056 DELI & GROCERY CORP,056 DELI & GROCERY,BRONX,10453,POINT (-73.903125633 40.853528805),2075 GRAND CONCOURSE,056 deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=056+DELI+&+GROCERY+2075+GRAND+CONCOURSE+BRONX+,40.85352881,-73.90312563,Sunset Park
NEW YORK,620095,AC,PUNJABI GROCERY&DELI INC,PUNJABI GROCERY&DELI,NEW YORK,10009,POINT (-73.986723215 40.722664036),114 E 1ST ST,punjabi grocerydeli,No,Yes,https://www.google.com/maps/search/?api=1&query=PUNJABI+GROCERY&DELI+114+E+1ST+ST+NEW+YORK+,40.72266404,-73.98672322,East Village
NEW YORK,620097,AC,FOOD LIBERATION INC,FOOD LIBERATION,NEW YORK,10128,POINT (-73.953723998 40.781814079),1349 LEXINGTON AVE,food liberation,No,Yes,https://www.google.com/maps/search/?api=1&query=FOOD+LIBERATION+1349+LEXINGTON+AVE+NEW+YORK+,40.78181408,-73.953724,Upper East Side
BRONX,739736,AC,1 DELI BRONX LLC,1 DELI BRONX,BRONX,10468,POINT (-73.901374822 40.875060657),2897 SEDGWICK AVE,1 deli bronx,No,Yes,https://www.google.com/maps/search/?api=1&query=1+DELI+BRONX+2897+SEDGWICK+AVE+BRONX+,40.87506066,-73.90137482,Kingsbridge Heights (KINGSBRIDGE)
NEW YORK,620134,AC,545 GRAND FOOD CORP,FINE FARE SUPERMARKET,NEW YORK,10002,POINT (-73.980747337 40.714071957),545 GRAND ST,fine fare supermarket,Yes,Yes,https://www.google.com/maps/search/?api=1&query=FINE+FARE+SUPERMARKET+545+GRAND+ST+NEW+YORK+,40.71407196,-73.98074734,Lower East Side
QUEENS,728134,AC,1 GOURMET DELI 65 CORP,1 GOURMET DELI 65,WOODSIDE,11377,POINT (-73.898587336 40.743231592),65-42 WOODSIDE AVE,1 gourmet deli,No,Yes,https://www.google.com/maps/search/?api=1&query=1+GOURMET+DELI+65+65-42+WOODSIDE+AVE+WOODSIDE+,40.74323159,-73.89858734,Woodside
QUEENS,633363,AC,100-17 BEACH CHANNEL DRIVE CORP,100-17 BEACH CHANNEL DR,ROCKAWAY BEACH,11694,POINT (-73.822503208 40.585781229),100-17 BEACH CHANNEL DR,10017 beach channel dr,No,Yes,https://www.google.com/maps/search/?api=1&query=100-17+BEACH+CHANNEL+DR+100-17+BEACH+CHANNEL+DR+ROCKAWAY+BEACH+,40.58578123,-73.82250321,Rockaway Beach
QUEENS,710982,AC,101 CORNER FOOD MART INC,101 CORNER FOOD MART,SOUTH RICHMOND HILL,11419,POINT (-73.83264288 40.6882062),111-01 101 ST AVE,101 corner food mart,No,Yes,https://www.google.com/maps/search/?api=1&query=101+CORNER+FOOD+MART+111-01+101+ST+AVE+SOUTH+RICHMOND+HILL+,40.6882062,-73.83264288,Richmond Hill 
QUEENS,759092,A,102 BEBE SHOP INC,102 BEBE SHOP,CORONA,11368,POINT (-73.866276692 40.757425004),102-06 NORTHERN BLVD,102 bebe shop,No,Yes,https://www.google.com/maps/search/?api=1&query=102+BEBE+SHOP+102-06+NORTHERN+BLVD+CORONA+,40.757425,-73.86627669,Corona
BRONX,606228,AC,1029 FOOD PLAZA INC,1029 FOOD PLAZA,BRONX,10453,POINT (-73.903230994 40.854726495),122 E 181ST ST,1029 food plaza,No,Yes,https://www.google.com/maps/search/?api=1&query=1029+FOOD+PLAZA+122+E+181ST+ST+BRONX+,40.8547265,-73.90323099,Fordham Heights
QUEENS,703443,A,104 CANDY CORP,104 ST CORP,RICHMOND HILL,11418,POINT (-73.843158564 40.694866879),86-91 104TH ST,104 st corp,No,Yes,https://www.google.com/maps/search/?api=1&query=104+ST+CORP+86-91+104TH+ST+RICHMOND+HILL+,40.69486688,-73.84315856,Richmond Hill 
NEW YORK,620147,AC,BURGOS JUAN R,129 POST GROCERY STORE,NEW YORK,10034,POINT (-73.91971233 40.864546397),129 POST AVE,129 post grocery store,No,Yes,https://www.google.com/maps/search/?api=1&query=129+POST+GROCERY+STORE+129+POST+AVE+NEW+YORK+,40.8645464,-73.91971233,Inwood
KINGS,742258,AC,1 NEW WAY DELI CORP,1 NEW WAY DELI,BROOKLYN,11208,POINT (-73.87456346 40.670970534),1159 BLAKE AVE,1 new way deli,No,Yes,https://www.google.com/maps/search/?api=1&query=1+NEW+WAY+DELI+1159+BLAKE+AVE+BROOKLYN+,40.67097053,-73.87456346,East New York
NEW YORK,620172,AC,809 LEX GROCERY INC,809 LEX GROCERY,NEW YORK,10065,POINT (-73.96651847 40.76427809),809 LEXINGTON AVE,809 lex grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=809+LEX+GROCERY+809+LEXINGTON+AVE+NEW+YORK+,40.76427809,-73.96651847,Upper East Side
BRONX,752513,AC,1 PIECE DELI & GRILL INC,1 PIECE DELI & GRILL,BRONX,10460,POINT (-73.882406658 40.851480477),2325 SOUTHERN BLVD,1 piece deli grill,No,Yes,https://www.google.com/maps/search/?api=1&query=1+PIECE+DELI+&+GRILL+2325+SOUTHERN+BLVD+BRONX+,40.85148048,-73.88240666,Belmont
BRONX,754670,A,1 S&F DELI GROCERY CORP,1 S&F DELI GROCERY,BRONX,10454,POINT (-73.918768528 40.808022404),260 BROOK AVE,1 sf deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=1+S&F+DELI+GROCERY+260+BROOK+AVE+BRONX+,40.8080224,-73.91876853,Mott Haven
QUEENS,745448,AC,1 WAY JUICE BAR DELI CORP,1 WAY JUICE BAR DELI,RICHMOND HILL,11418,POINT (-73.834320602 40.698419256),114-14 JAMAICA AVE,1 way juice bar deli,No,Yes,https://www.google.com/maps/search/?api=1&query=1+WAY+JUICE+BAR+DELI+114-14+JAMAICA+AVE+RICHMOND+HILL+,40.69841926,-73.8343206,Richmond Hill 
QUEENS,671875,AC,105 EZ SHOP INC,105 EZ SHOP,OZONE PARK,11417,POINT (-73.844923039 40.679984978),105-06 CROSSBAY BLVD,105 ez shop,No,Yes,https://www.google.com/maps/search/?api=1&query=105+EZ+SHOP+105-06+CROSSBAY+BLVD+OZONE+PARK+,40.67998498,-73.84492304,Ozone Park
KINGS,617669,AC,107 RALPH AVE CORP,107 RALPH AVE,BROOKLYN,11221,POINT (-73.923292576 40.686486946),107 RALPH AVE,107 ralph ave,No,Yes,https://www.google.com/maps/search/?api=1&query=107+RALPH+AVE+107+RALPH+AVE+BROOKLYN+,40.68648695,-73.92329258,Bed-Stuy
BRONX,761416,AC,10 DAYS GROCERY CORP,10 DAYS GROCERY,BRONX,10455,POINT (-73.916450345 40.812661411),459 BROOK AVE,10 days grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=10+DAYS+GROCERY+459+BROOK+AVE+BRONX+,40.81266141,-73.91645035,Mott Haven
BRONX,703060,AC,10 NEIGHBORHOOD CANDY GROCERY CORP,10 NEIGHBORHOOD CANDY GROCERY,BRONX,10467,POINT (-73.881755217 40.882832231),10 W. GUN HILL RD.,10 neighborhood candy grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=10+NEIGHBORHOOD+CANDY+GROCERY+10+W.+GUN+HILL+RD.+BRONX+,40.88283223,-73.88175522,Norwood
KINGS,761411,AC,107 WILSON EXPRESS CORP,107 WILSON EXPRESS,BROOKLYN,11237,POINT (-73.926871397 40.701505137),107 WILSON AVE,107 wilson express,No,Yes,https://www.google.com/maps/search/?api=1&query=107+WILSON+EXPRESS+107+WILSON+AVE+BROOKLYN+,40.70150514,-73.9268714,Bushwick
RICHMOND,722855,A,1106 FOREST FOOD CORP,1106 FOREST FOOD,STATEN ISLAND,10310,POINT (-74.126513747 40.626812363),1106 FOREST AVE,1106 forest food,No,Yes,https://www.google.com/maps/search/?api=1&query=1106+FOREST+FOOD+1106+FOREST+AVE+STATEN+ISLAND+,40.62681236,-74.12651375,Staten Island
QUEENS,731058,AC,101 DELI NY INC,101 DELI NY,SOUTH RICHMOND HILL,11419,POINT (-73.824031061 40.690392368),120-22 101ST AVENUE,101 deli ny,No,Yes,https://www.google.com/maps/search/?api=1&query=101+DELI+NY+120-22+101ST+AVENUE+SOUTH+RICHMOND+HILL+,40.69039237,-73.82403106,Richmond Hill 
