County,License Number,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,City,Zip Code,Square Footage,Georeference,Full Address,Normalized DBA Name,Is Chain Store,Is Grocery Store
NEW YORK,628809,AC,207 INC I,207,4930A,BROADWAY,,NEW YORK,10034,375,POINT (-73.921381335 40.86747692),4930A BROADWAY,,No,Yes
BRONX,740870,AC,056 DELI & GROCERY CORP,056 DELI & GROCERY,2075,GRAND CONCOURSE,,BRONX,10453,,POINT (-73.903125633 40.853528805),2075 GRAND CONCOURSE,056 deli grocery,No,Yes
NEW YORK,737279,AC,1 COLUMBIA DELI INC,1 COLUMBIA DELI,1290,AMSTERDAM AVE,,NEW YORK,10027,2000,POINT (-73.957644968 40.811804529),1290 AMSTERDAM AVE,1 columbia deli,No,Yes
NEW YORK,628918,AC,1 GUADALUPE VICTORIA INC,1 GUADALUPE VICTORIA INC,1484,ST NICHOLAS AVE,,NEW YORK,10033,750,POINT (-73.932082846 40.851282245),1484 ST NICHOLAS AVE,1 guadalupe victoria inc,No,Yes
BRONX,739736,AC,1 DELI BRONX LLC,1 DELI BRONX,2897,SEDGWICK AVE,,BRONX,10468,,POINT (-73.901374822 40.875060657),2897 SEDGWICK AVE,1 deli bronx,No,Yes
NEW YORK,754370,AC,1 GOLD DELI CORP,1 GOLD DELI,126,E 103RD STREET,,NEW YORK,10029,2200,POINT (-73.948261847 40.790459006),126 E 103RD STREET,1 gold deli,No,Yes
QUEENS,728134,AC,1 GOURMET DELI 65 CORP,1 GOURMET DELI 65,65-42,WOODSIDE AVE,,WOODSIDE,11377,,POINT (-73.898587336 40.743231592),65-42 WOODSIDE AVE,1 gourmet deli,No,Yes
QUEENS,633363,AC,100-17 BEACH CHANNEL DRIVE CORP,100-17 BEACH CHANNEL DR,100-17,BEACH CHANNEL DR,,ROCKAWAY BEACH,11694,1400,POINT (-73.822503208 40.585781229),100-17 BEACH CHANNEL DR,10017 beach channel dr,No,Yes
QUEENS,710982,AC,101 CORNER FOOD MART INC,101 CORNER FOOD MART,111-01,101 ST AVE,,SOUTH RICHMOND HILL,11419,1000,POINT (-73.83264288 40.6882062),111-01 101 ST AVE,101 corner food mart,No,Yes
QUEENS,759092,A,102 BEBE SHOP INC,102 BEBE SHOP,102-06,NORTHERN BLVD,,CORONA,11368,,POINT (-73.866276692 40.757425004),102-06 NORTHERN BLVD,102 bebe shop,No,Yes
BRONX,606228,AC,1029 FOOD PLAZA INC,1029 FOOD PLAZA,122,E 181ST ST,,BRONX,10453,2000,POINT (-73.903230994 40.854726495),122 E 181ST ST,1029 food plaza,No,Yes
