County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
KINGS,763133,Store,A,SKILLMART INC,SKILLMART,1010,BEDFORD AVE,,,BROOKLYN,NY,11205,,POINT (-73.955486796 40.690346184)
BRONX,763132,Store,A,ARDENT PHARMACY INC,BENJAMINS PHARMACY & SURGICAL,987-989,ALLERTON AVE,,,BRONX,NY,10469,,POINT (-73.858823252 40.865713996)
BRONX,763012,Store,A,BALDE FAMILY GENERAL MERCHANDISING LLC,BALDE FAMILY GENERAL MERCHANDISING,756,BURKE AVENUE,,,BRONX,NY,10467,,POINT (-73.864832322 40.871259212)
BRONX,763011,Store,A,ESTRELLA MEATS FRUITS & GROCERY 2 CORP,ESTRELLA MEATS FRUITS & GROCERY 2,350,E GUN HILL RD,,,BRONX,NY,10467,,POINT (-73.872836453 40.878631389)
QUEENS,762997,Store,A,HUA-TE NY INC,HUA-TE NY,42-14,MAIN  ST,,,FLUSHING,NY,11355,,POINT (-73.828313124 40.754958503)
BRONX,762996,Store,A,ALEX CANDY STORE CORP,ALEX CANDY STORE,1373A,OGDEN AVE,,,BRONX,NY,10452,,POINT (-73.924682128 40.841954234)
NEW YORK,762984,Store,A,LUXURY GREENS LLC,LUXURY GREENS,1330,5TH AVE STORE 5,,,NEW YORK,NY,10026,,POINT (-73.948736514 40.797872758)
NEW YORK,762969,Store,A,HUDSON GROUP (HG) RETAIL LLC,HUDSON NEWS STORE #210,,MAIN AMTRAK LEVEL B,PENN STATION,,NEW YORK,NY,10001,,POINT (-73.9926754 40.7482307)
NEW YORK,762966,Store,A,HUDSON GROUP (HG) RETAIL LLC,HUDSON NEWS STORE #211,,33RD ST & 8TH AVE,PENN STATION,,NEW YORK,NY,10001,,POINT (-73.9926754 40.7482307)
NEW YORK,762964,Store,A,HUDSON GROUP (HG) RETAIL LLC,HUDSON NEWS STORE #212,,33RD ST & 8TH AVE,PENN STATION,,NEW YORK,NY,10001,,POINT (-73.9926754 40.7482307)
QUEENS,762948,Store,AC,124 LIBERTY LLC,APNA BAZAR FARMERS MARKET,124-16,LIBERTY AVE,,,SOUTH RICHMOND HILL,NY,11419,2000,POINT (-73.819525202 40.687909397)
QUEENS,762905,Store,A,SINGHS FISH & GROCERY,SINGHS FISH & MEAT,125-20,111TH AVE,,,SOUTH OZONE PARK,NY,11420,1000,POINT (-73.815231069 40.682090093)
BRONX,762887,Store,A,SANAA DISCOUNT INC,SANAA DISCOUNT,778,MORRIS PARK AVE,,,BRONX,NY,10462,,POINT (-73.863157031 40.845684139)
NEW YORK,762819,Store,A,CRH RX CORP,QUISQUEYA PHARMACY,174,AUDUBON AVE,,,NEW YORK,NY,10033,,POINT (-73.935993171 40.84400428)
NEW YORK,762814,Store,A,FRAICHE CORP,FRAICHE,30,VANDAM ST,,,NEW YORK,NY,10013,,POINT (-74.004957962 40.726273032)
NEW YORK,762771,Store,A,PITKIN SUPER DEALS INC,USA SUPER STORE,441,2ND AVE,,,NEW YORK,NY,10010,,POINT (-73.980010652 40.739433752)
KINGS,762743,Store,A,NEW STAR GROCERY STORE INC,NEW STAR GROCERY STORE,2115,E 15TH STREET,,,BROOKLYN,NY,11229,1000,POINT (-73.956058358 40.598436059)
KINGS,762732,Store,AC,ADAM DELI GROCERY II CORP,ADAM DELI GROCERY II,863,FLATBUSH AVE,,,BROOKLYN,NY,11226,1000,POINT (-73.958722546 40.651107855)
NEW YORK,762712,Store,A,1923 GCT LLC,LI-LAC CHOCOLATES,89,E 42ND ST,MKT-17B GRAND CENTRAL MARKET,,NEW YORK,NY,10017,,POINT (-73.9774131 40.752368369)
NEW YORK,762695,Store,A,CW PROJECTS LLC,LOCAVORE VARIETY STORE,434,6TH AVENUE STORE # 4,,,NEW YORK,NY,10011,,POINT (-73.998789293 40.734579508)
QUEENS,762684,Store,AC,AI MART CP INC,AI MART,132-19,14TH AVE,,,COLLEGE POINT,NY,11356,,POINT (-73.835518041 40.787378867)
QUEENS,762661,Store,A,YING FU MARKET INC,YING FU MARKET,42-35,MAIN ST #1P4,,,FLUSHING,NY,11355,,POINT (-73.827736114 40.754566105)
KINGS,762660,Store,A,WONDER 7TH GROCERY INC,WONDER 7TH GROCERY,5120,7TH AVENUE,,,BROOKLYN,NY,11220,,POINT (-74.007115212 40.641489076)
RICHMOND,762604,Store,A,ALDI INC,ALDI #147,3231,RICHMOND AVE,,,STATEN ISLAND,NY,10312,,POINT (-74.168832383 40.559651233)
BRONX,762597,Store,A,JOSE MINI MARKET INC,JOSE MINI MARKET,549,SOUTHERN BLVD,,,BRONX,NY,10455,,POINT (-73.903659812 40.81244499)
RICHMOND,762576,Store,AC,PURNIMA CONVENIENCE STORE INC,PAPA JOES DELI,280,MORNING STAR ROAD,,,STATEN ISLAND,NY,10303,1200,POINT (-74.146961064 40.63137237)
RICHMOND,762566,Store,ADK,NEW NAN FONG HONG TRADING INC,NEW NAN FONG HONG TRADING,21 & 27,SYLVATON TERRACE,,,STATEN ISLAND,NY,10305,12000,POINT (-74.067118379 40.617185473)
QUEENS,762551,Store,A,ERIC CONVENIENCE STORE INC,ERIC CONVENIENCE STORE,102-06,43RD AVE,,,CORONA,NY,11368,,POINT (-73.862480611 40.747044562)
KINGS,762545,Store,A,YOLANDA GROCERY STORE INC,YOLANDA GROCERY STORE,2428,PITKIN,,,BROOKLYN,NY,11208,,POINT (-73.882777474 40.6737172)
KINGS,762540,Store,AC,ZEENA BAKERY LLC,ZEENA BAKERY,999,ATLANTIC AVE,-C/O COOK COLLECTIVE/APIARI KITCHEN,,BROOKLYN,NY,11238,50,POINT (-73.959124626 40.680199303)
KINGS,762524,Store,AC,513 DELI & GRILL INC,513 DELI & GRILL,513,5TH AVE,,,BROOKLYN,NY,11215,1200,POINT (-73.988090555 40.666816756)
BRONX,762506,Store,A,LA FARMA LLC,A1 HEALTH PHARMACY,1003,OGDEN AVE,,,BRONX,NY,10452,,POINT (-73.929434332 40.833118284)
QUEENS,762493,Store,AC,G MART NY INC,G MART NY,75-01,BROADWAY,,,ELMHURST,NY,11373,,POINT (-73.890044752 40.74624057)
BRONX,762487,Store,AC,CASITA MARIA DELI CORP,CASITA MARIA DELI,1020-1022,EAST 163RD STREET,,,BRONX,NY,10459,,POINT (-73.892223543 40.82082354)
QUEENS,762482,Store,AC,NEW ARIA CORP,NEW ARIA,100-27,METROPOLITAN AVENUE,,,FOREST HILLS,NY,11375,,POINT (-73.852272711 40.710797608)
NEW YORK,762463,Store,AC,YUMMILICIOUS DELI #3 CORP,YUMMILICIOUS DELI #3,23,E 115TH ST,,,NEW YORK,NY,10029,2200,POINT (-73.945715927 40.799588031)
RICHMOND,762461,Store,AC,ATJ ENTERPRISE INC,ATJ ENTERPRISE,1077,BAY ST,SUITE 6,,STATEN ISLAND,NY,10305,1300,POINT (-74.067660297 40.617130511)
QUEENS,762447,Store,AC,CLOUD MUNCHIES CORP,CLOUD MUNCHIES,251-16,NORTHERN BLVD,,,LITTLE NECK,NY,11362,500,POINT (-73.736468923 40.769202668)
BRONX,762444,Store,AC,80 BRONX FINEST MARKET INC,80 BRONX FINEST MARKET,2109,SOUTHERN BLVD,,,BRONX,NY,10460,1750,POINT (-73.884575895 40.846262155)
